Speaker,Text
Elon Musk,"In three -- I think, four days. They sold out in four days."
Joe Rogan,Are you going to do another run?
Elon Musk,No.
Joe Rogan,"No, that's it?"
Elon Musk,Yes.
Joe Rogan,"Oh, I see."
Elon Musk,"I said we're doing 20. We did 50,000. 50,000 hats, and that was a million dollars. I thought, ""Okay. Well, we'll sellsomething for 10 million,"" and that was 20,000 flamethrowers at $500 each. They went fast."
Joe Rogan,"Yeah. How do you have the time? How do you have the time to do that though? I mean, I understand that it's not abig deal in terms of all the other things you do, but how do you have time to do anything? I just -- I don'tunderstand your time management skills."
Elon Musk,"I mean, I didn't spend much time on this flamethrower. I mean, to be totally frank, it's actually just a roofing torchwith an air rifle cover. It's not a real flamethrower."
Joe Rogan,"Which is why it says, ""Not a flamethrower."""
Elon Musk,"That's why we were very clear, this is not actually a flamethrower. And, also, we are told that various countrieswould ban shipping of it, that they would ban flamethrowers. So, we're very -- To solve this problem for all of thecustoms agencies, we labeled it, ""Not a flamethrower."""
Joe Rogan,Did it work? Was it effective?
Elon Musk,I don't know. I think so. Yes.
Joe Rogan,So far.
Elon Musk,Yes.
Joe Rogan,"Now, but you do-"
Elon Musk,Because they said you cannot ship a flamethrower.
Joe Rogan,"But you do so many different things. Forget about the flamethrower. Like, how do you do all that other shit? Like,how does one decide to fix LA traffic by drilling holes in the ground? And who do you even approach with that? Like,when you have this idea, who do you talk to about that?"
Elon Musk,"I mean, I'm not saying it's going to be successful or something, you know. It's not like asserting that it's going to besuccessful. But so far, I've lived in LA for 16 years, and the traffic has always been terrible. And so, I don't see anyother, like, ideas for improving the traffic. So, in desperation, we're going to dig a tunnel. And maybe that tunnelwill be successful and maybe it won't."
Joe Rogan,I'm listening.
Elon Musk,Yeah. I'm not trying to convince you it's going to work.
Joe Rogan,And are the people that you-
Elon Musk,"I mean, or anyone."
Joe Rogan,"But you are starting this though. This is actually a project you're starting to implement, right."
Elon Musk,"Yeah, yeah, no. We've dug about a mile. It's quite long. It takes a long time to walk it."
Joe Rogan,"Yeah. Now, when you're doing this, what is the ultimate plan? The ultimate plan is to have these in major cities,and anywhere there's mass congestion, and just try it out in LA first?"
Elon Musk,"Yeah. It's in LA because I mostly live in LA. That's the reason. It's a terrible place to dig tunnels. This is one of theworst places to dig tunnels mostly because of the paperwork. You all think it's like, ""What about seismic?"" It's like,actually, both tunnels are very safe in earthquakes."
Joe Rogan,Why is that?
Elon Musk,"Earthquakes are essentially a surface phenomenon. It's like waves on the ocean. So, if there's a storm, you want tobe in a submarine. So, being in a tunnel is like being in a submarine. Now, the way the tunnel is constructed, it'sconstructed out of these interlocking segments, kind of like a snake. It's sort of like a snake exoskeleton withdouble seals."
Elon Musk,"And so, even when the ground moves, the tunnel actually is able to shift along with the ground like an undergroundsnake, and it doesn't crack or break. And it's extremely unlikely that both seals would be broken. And it's capable oftaking five atmospheres of pressure. It's waterproof, methane-proof, well, gas-proof of any kind, and meets allCalifornia seismic requirements."
Joe Rogan,"So, when you have this idea, who do you bring this to?"
Elon Musk,I'm not sure what you mean by that.
Joe Rogan,"Well, you're implementing it. So, you're digging holes in the ground."
Elon Musk,Yes.
Joe Rogan,"Like, you have to bring it to someone that lets you do it."
Elon Musk,"Yes. There are some engineers from SpaceX who thought it would be cool to do this. And the guy who runs it, like,day-to-day is Steve Davis. He's a longtime SpaceX engineer. He is great. So, Steve was like, ""I'd like to help makethis happen."" I was like, ""Cool."" So, we started off with digging a hole in the ground. It's got like a permit for a pit,like pit, and just dug a big pit."
Joe Rogan,"And you have to tell them what the pit's for, or you just said, ""Hey, we just want to dig a hole."""
Elon Musk,I just filled up this form.
Joe Rogan,That's it?
Elon Musk,"Yeah, it was a pit in our parking lot."
Joe Rogan,"But do you have to give them some sort of a blueprint for your ultimate idea? And do they have to approve it? Like,how does that work?"
Elon Musk,Now. We just started off with a pit.
Joe Rogan,Okay.
Elon Musk,"A big pit. And, you know, it's not really -- You know, they don't really care about the existential nature of a pit. Youjust say like, ""I want a pit."""
Joe Rogan,Right.
Elon Musk,"Yeah. And it's a hole in the ground. So then, we got the permit for the pit, and we dug the pit, and we dug it in, like,I don't know, three days, two to three days. Actually, I think two, 48 hours, something like that because Eric Carrsaid he was coming by for the Hype. He's going to attend the Hyperloop Competition. which is like a studentcompetition we have for who can make the fastest part in the Hyperloop. And he was coming."
Elon Musk,"The finals are going to be on Sunday afternoon. And so, Eric is coming by on Sunday afternoon. He's like, ""Youknow, we should dig this pit, and then like show Eric."" So, this was like Friday morning. And then, yeah. So, it'sabout a little over 48 hours later, we dug the pit. There was like wind 24/7. Oh, 24. 48 straight hours, somethinglike that. And dug this big pit, and we're like, ""Show Eric the pit."" It's like, obviously, it's just a pit. But, hey, a holein the ground is better than no hole in the ground."
Joe Rogan,"And what did you tell him about this pit? I mean, you just said this is the beginning of this idea."
Elon Musk,Yes.
Joe Rogan,We're going to build tunnels under LA to help funnel traffic better.
Elon Musk,Yes.
Joe Rogan,"And they just go, ""Okay."" But we've joked around about this in the podcast before to like what if a person can go tothe people that run the city and go, ""Hey, I want to dig some holes on the ground and put some tunnels in there,""and they go ""Oh, yeah, okay."""
Elon Musk,Not the only one with a hole in the ground.
Joe Rogan,But it's a-
Elon Musk,People dig holes in the ground all time.
Joe Rogan,"But my question is, like, I know how much time you must be spending on your Tesla factory. I know how much timeyou must be spending on SpaceX. And yet, you still have time to dig holes under the ground in LA, and come upwith these ideas, and then implement them. Like-"
Elon Musk,I have a million ideas.
Joe Rogan,I'm sure you do.
Elon Musk,There's no shortage of that. Yeah.
Joe Rogan,I just don't know how you manage your time. I don't understand it. It doesn't seem -- It doesn't even seem humanlypossible.
Elon Musk,"You know, I do, basically -- I think, people, like, don't totally understand what I do with my time. They think, like, I'ma business guy or something like that. Like my Wikipedia page says business magnate."
Joe Rogan,What would you call yourself?
Elon Musk,A business magnet. Can someone please change my Wikipedia page to magnet?
Joe Rogan,They'll change it for you.
Elon Musk,Please change.
Joe Rogan,"Right now, it's probably already changed."
Elon Musk,"It's locked. So, somebody has to be able to unlock it and change it to magnet."
Joe Rogan,Someone will get that.
Elon Musk,"I want to be a magnet. No, I do engineering, you know, and manufacturing, and that kind of thing. That's like 80%or more of my time."
Joe Rogan,"Ideas, and then the implementation of those ideas."
Elon Musk,"Those are like hardcore engineering, like-"
Joe Rogan,Yeah.
Elon Musk,"... designing things, you know."
Joe Rogan,Right.
Elon Musk,"It's structural, mechanical, electrical, software, user interface, engineering, aerospace engineering."
Joe Rogan,"But you must understand there's not a whole lot of human beings like you. You know that, right? You're an oddity-"
Elon Musk,Yes.
Joe Rogan,... to chimps like me.
Elon Musk,We're all chimps.
Joe Rogan,"Yeah, we are."
Elon Musk,We're one notch. One notch above a chimp.
Joe Rogan,"Some of us are a little more confused. When I watch you doing all these things, I'm like, ""How does thismotherfucker have all this time, and all this energy, and all these ideas, and then people just let him do thesethings?"""
Elon Musk,Because I'm an alien.
Joe Rogan,That's what I've speculated.
Elon Musk,Yes.
Joe Rogan,"Then, I'm on record saying this in the past. I wonder."
Elon Musk,It's true.
Joe Rogan,"I mean, if there was one? I was like, ""If there was, like, maybe an intelligent being that we created, you know, likesome AI creature that's superior to people, maybe it's just hanging around with us for a little while like you've beendoing, and then fix a bunch of shit."" I mean, that's the way."
Elon Musk,I might have some mutation or something like that.
Joe Rogan,You might. Do you think you do?
Elon Musk,Probably.
Joe Rogan,"Do you wonder? Like, around normal people, you're like, ""Hmm."" Think, ""What's up with these boring dumbmotherfuckers?"" ever?"
Elon Musk,"Not bad for a human, but, I think, I will not be able to hold a candle to AI."
Joe Rogan,You scared the shit out of me when you talk about AI between you and Sam Harris.
Elon Musk,Oh sure.
Joe Rogan,I didn't consider it until I had a podcast with Sam once.
Elon Musk,That's great.
Joe Rogan,"And he made me shit my pants. Talking about AI, I realized, like, ""Oh, this is a genie that once it's out of the bottle,you're never getting it back in."""
Elon Musk,That's true.
Joe Rogan,There was a video that you tweeted about one of those Boston dynamic robots.
Elon Musk,Yeah.
Joe Rogan,"And you're like, ""In the future, it will be moving so fast, you can't see it without a strobe light."""
Elon Musk,Yeah. You can probably do that right now.
Joe Rogan,"And no one's really paying attention too much other than people like you, or people that are really obsessed withtechnology, all these things are happening. And these robots are -- Do you see the one where PETA put out astatement that you shouldn't kick robots?"
Elon Musk,It's probably not wise.
Joe Rogan,For retribution.
Elon Musk,Their memory is very good.
Joe Rogan,I bet it's really good.
Elon Musk,It's really good.
Joe Rogan,I bet it is.
Elon Musk,Yes.
Joe Rogan,And getting better every day.
Elon Musk,It's really good.
Joe Rogan,"Are you honestly legitimately concerned about this? Are you -- Is, like, AI one of your main worries in regards to thefuture?"
Elon Musk,"Yes. It's less of a worry than it used to be, mostly due to taking more of a fatalistic attitude."
Joe Rogan,"So, you used to have more hope, and you gave up some of it. And, now, you don't worry as much about AI. You'relike, ""This is just what it is."""
Elon Musk,"Pretty much. Yes, yes, yes."
Joe Rogan,Was that not? Yes but no.
Elon Musk,It's not necessarily bad. It's just it's definitely going to be outside of human control.
Joe Rogan,"Not necessarily bad, right?"
Elon Musk,"Yes. It's not necessarily bad. It's just outside of human control. Now, the thing that's going to be tricky here is thatit's going to be very tempting to use AI as a weapon. It's going to be very tempting. In fact, it will be used as aweapon. So, the on ramp to serious AI, the danger is going to be more humans using it against each other, I think,most likely. That will be the danger. Yeah."
Joe Rogan,"How far do you think we are from something that can make its own mind up whether or not something's ethically ormorally correct, or whether or not it wants to do something, or whether or not it wants to improve itself, or whetheror not it wants to protect itself from people or from other AI? How far away are we from something that's reallytruly sentient?"
Elon Musk,"Well, I mean, you could argue that any group of people, like a company is essentially a cybernetic collective ofpeople and machines. That's what a company is. And then, there are different levels of complexity in the way thesecompanies are formed. And then, there's a sort of like a collective AI in the Google, sort of, Search, Google Search,you know, where we're all sort of plugged in as like nodes on the network, like leaves on a big tree."
Elon Musk,"And we're all feeding this network with our questions and answers. We're all collectively programming the AI. AndGoogle Plus, all the humans that connect to it, are one giant cybernetic collective. This is also true of Facebook, andTwitter, and Instagram, and all the social networks. They're giant cybernetic collectives."
Joe Rogan,"Humans and electronics all interfacing, and constantly now, constantly connected."
Elon Musk,"Yes, constantly."
Joe Rogan,"One of the things that I've been thinking about a lot over the last few years is that one of the things that drives alot of people crazy is how many people are obsessed with materialism and getting the latest greatest thing. And Iwonder how much of that is -- Well, a lot of it is most certainly fueling technology and innovation. And it almostseems like it's built into us. It's like what we like and what we want that we're fueling this thing that's constantlyaround us all the time."
Joe Rogan,"And it doesn't seem possible that people are going to pump the brakes. It doesn't seem possible at this stagewhere we're constantly expecting the newest cellphone, the latest Tesla update, the newest MacBook Pro.Everything has to be newer and better. And that's going to lead to some incredible point. And it seems like it's builtinto us. It almost seems like it's an instinct that we're working towards this, that we like it. Our job, just like theants build the anthill, our job is to somehow know how fuel this."
Elon Musk,"Yes. I mean, I made this comment some years ago, but it feels like we are the biological bootloader for AI.Effectively, we are building it. And then, we're building progressively greater intelligence. And the percentage ofintelligence that is not human is increasing. And, eventually, we will represent a very small percentage ofintelligence. But the AI is informed strangely by the human limbic system. It is, in large part, our id writ large."
Joe Rogan,How so?
Elon Musk,"We mentioned all those things, the sort of primal drives. There's all of the things that we like, and hate, and fear.They're all there on the internet. They're a projection of our limbic system. That's true."
Joe Rogan,"No, it makes sense. And the thinking of it as a -- I mean, thinking of corporations, and just thinking of just humanbeings communicating online through these social media networks in some sort of an organism that's a -- It's acyborg. It's a combination. It's a combination of electronics and biology."
Elon Musk,"Yeah. This is -- In some measure, like, it's to the success of these online systems. It's sort of a function of how muchlimbic resonance they're able to achieve with people. The more limbic resonance, the more engagement."
Joe Rogan,"Whereas, like one of the reasons why probably Instagram is more enticing than Twitter."
Elon Musk,Limbic resonance.
Joe Rogan,"Yeah. You get more images, more video."
Elon Musk,Yes.
Joe Rogan,It's tweaking your system more.
Elon Musk,Yes.
Joe Rogan,"Do you worry or wonder, in fact, of what the next step is? I mean, a lot of you didn't see Twitter coming. You know,communicate with 140 characters or 280 now would be a thing that people would be interested in. Like it's goingto excel. It's going to become more connected to us, right?"
Elon Musk,"Yes. Things are getting more and more connected. They're, at this point, constrained by bandwidth. Ourinput/output is slow, particularly output. Output got worse with thumbs. You know, we used to have input with 10fingers. Now, we have thumbs. But images are just, also, other way of communicating at high bandwidth. You takepictures and you send pictures to people. What sends, that communicates far more information than you cancommunicate with your thumb."
Joe Rogan,"So, what happened with you where you decided, or you took on a more fatalistic attitude? Like, was there anyspecific thing, or was it just the inevitability of our future?"
Elon Musk,"I try to convince people to slow down. Slow down AI to regulate AI. That's what's futile. I tried for years, and nobodylistened."
Joe Rogan,This seems like a scene in a movie-
Elon Musk,Nobody listened.
Joe Rogan,... where the the robots are going to fucking takeover. You're freaking me out. Nobody listened?
Elon Musk,Nobody listened.
Joe Rogan,No one. Are people more inclined to listen today? It seems like an issue that's brought up more often over the lastfew years than it was maybe 5-10 years ago. It seemed like science fiction.
Elon Musk,"Maybe they will. So far, they haven't. I think, people don't -- Like, normally, the way that regulations work is veryslow. it's very slow indeed. So, usually, it will be something, some new technology. It will cause damage or death.There will be an outcry. There will be an investigation. Years will pass. There will be some sort of insightscommittee. There will be rule making. Then, there will be oversight, absolutely, of regulations. This all takes manyyears. This is the normal course of things."
Elon Musk,"If you look at, say, automotive regulations, how long did it take for seatbelts to be implemented, to be required?You know, the auto industry fought seatbelts, I think, for more than a decade. It successfully fought any regulationson seatbelts even though the numbers were extremely obvious. If you had seatbelts on, you would be far less likelyto die or be seriously injured. It was unequivocal. And the industry fought this for years successfully. Eventually,after many, many people died, regulators insisted on seatbelts. This is a -- This time frame is not relevant to AI. Youcan't take 10 years from a point of which it's dangerous. It's too late."
Joe Rogan,"And you feel like this is decades away or years away from being too late. If you have this fatalistic attitude, and youfeel like it's going -- We're in an almost like a doomsday countdown."
Elon Musk,It's not necessarily a doomsday countdown. It's a-
Joe Rogan,Out of control countdown?
Elon Musk,"Out of control, yeah. People quote the singularity, and that's probably a good way to think about it. It's asingularity. It's hard to predict like a black hole, what happens past the event horizon."
Joe Rogan,"Right. So, once it's implemented, it's very difficult because it would be able to-"
Elon Musk,"Once the genie is out of the bottle, what's going to happen?"
Joe Rogan,Right. And it will be able to improve itself.
Elon Musk,Yes.
Joe Rogan,"That's where it gets spooky, right? The idea that it can do thousands of years of innovation very, very quickly."
Elon Musk,Yeah.
Joe Rogan,"And, then, it will be just ridiculous."
Elon Musk,Ridiculous.
Joe Rogan,"We will be like this ridiculous biological shitting, pissing thing trying to stop the gods. ""No, stop. We're like livingwith a finite lifespan, and watching, you know, Norman Rockwell paintings."""
Elon Musk,"It could be terrible, and it could be great. It's not clear."
Joe Rogan,Right.
Elon Musk,"But one thing is for sure, we will not control it."
Joe Rogan,"Do you think that it's likely that we will merge somehow or another with this sort of technology, and it'll augmentwhat we are now, or do you think it will replace us?"
Elon Musk,"Well, that's the scenario. The merge scenario with AI is the one that seems like probably the best. Like if-"
Joe Rogan,For us?
Elon Musk,"Yes. Like if you can't beat it, join it. That's-"
Joe Rogan,"Yes, yeah."
Elon Musk,"You know. So, from a long-term existential standpoint, that's like the purpose of Neuralink is to create a highbandwidth interface to the brain such that we can be symbiotic with AI because we have a bandwidth problem. Youjust can't communicate through fingers. It's too slow."
Joe Rogan,And where's Neuralink at right now?
Elon Musk,"I think. we'll have something interesting to announce in a few months. That's, at least, an order of magnitudebetter than anything else. I think better than, probably, anyone thinks is possible."
Joe Rogan,How much can you talk about that right now?
Elon Musk,I don't want to jump the gun on that.
Joe Rogan,"But what's like the ultimate? What's the idea behind that? Like, what are you trying to accomplish with it? Whatwould you like best case scenario?"
Joe Rogan,"I think, best case scenario, we effectively merge with AI where AI serves as a tertiary cognition layer, where we'vegot the limbic system. Kind of the, you know, primitive brain essentially. You got the cortex. So, you're currently in asymbiotic relationship. Your cortex and limbic system are in a symbiotic relationship. And, generally, people liketheir cortex, and they like their limbic system. I haven't met anyone who wants to delete their limbic system ordelete their cortex. Everybody seems to like both."
Elon Musk,"And the cortex is mostly in service to the limbic system. People may think that the thinking part of themselves is incharge, but it's mostly their limbic system that's in charge. And the cortex is trying to make the limbic systemhappy. That's what most of that computing power is. It's launched towards, ""How can I make the limbic systemhappy?"" That's what it's trying to do."
Elon Musk,"Now, if we do have a third layer, which is the AI extension of yourself, that is also symbiotic. And there's enoughbandwidth between the cortex and the AI extension of yourself, such that the AI doesn't de facto separate. Then,that could be a good outcome. That could be quite a positive outcome for the future."
Joe Rogan,"So, instead of replacing us, it will radically change our capabilities?"
Elon Musk,"Yes. It will enable anyone who wants to have super human cognition, anyone who wants. This is not a matter ofearning power because your earning power would be vastly greater after you do it. So, it's just like anyone whowants can just do it in theory. That's the theory. And if that's the case then, and let's say billions of people do it,then the outcome for humanity will be the sum of human will, the sum of billions of people's desire for the future."
Joe Rogan,That billions of people with enhanced cognitive ability?
Elon Musk,Yes.
Joe Rogan,Radically enhanced?
Elon Musk,Yes.
Joe Rogan,"And which would be -- It -- But how much different than people today? Like if you had to explain it to a person whodidn't really understand what you're saying, like how much different are you talking about? When you say radicallyimproved, like, what do you mean? You mean mind reading?"
Elon Musk,"It will be difficult to really appreciate the difference. It's kind of like how much smarter are you with a phone orcomputer than without? You're vastly smarter actually. You know, you can answer any question. If you connect tothe internet, you can answer any question pretty much instantly, any calculation, that your phone's memory isessentially perfect. You can remember flawlessly. Your phone can remember videos, pictures, everything perfectly.That's the-"
Elon Musk,"Your phone is already an extension of you. You're already a cyborg. You don't even -- What most people don'trealize, they are already a cyborg. That phone is an extension of yourself. It's just that the data rate, the rate atwhich -- The communication rate between you and the cybernetic extension of yourself, that is your phone andcomputer, is slow. It's very slow."
Elon Musk,"And that is like a tiny straw of information flow between your biological self and your digital self. And we need tomake that tiny straw like a giant river. A huge high band with the interface. It's an interface problem, data rateproblem. It's all the data rate problem that I think we can hang on to human machine symbiosis through the longterm. And then, people may decide that they want to retain their biological self or not. I think they'll probablychoose to retain the biological self."
Joe Rogan,Versus some sort of Ray Kurzweil scenario where they download themselves into a computer?
Elon Musk,"You will be essentially snapshotted into a computer at any time. If your biological self dies, you could probably justupload it to a new unit literally."
Joe Rogan,Pass that whiskey. We're getting crazy over here. This is getting ridiculous.
Elon Musk,Down the rabbit hole.
Joe Rogan,"Grab that sucker. Give me some of that. This is too freaky. See, if I was just talking-"
Elon Musk,"I've been thinking about this for a long time, by the way."
Joe Rogan,"I believe you. If I was talking to one -- Cheers, by the way."
Elon Musk,Cheers. It is a great whiskey.
Joe Rogan,Thank you. I don't know where this came. Who brought this to us?
Jaime,I'm trying to remember. I can't-
Joe Rogan,Somebody gave it to us. Old Camp. Whoever it was-
Elon Musk,It's good.
Joe Rogan,... thanks.
Elon Musk,It's good.
Joe Rogan,"Yeah, it is good. This is just inevitable. Again, going back to when you decided to have this fatalistic viewpoint. So,you weren't -- You tried to warn people. You talked about this pretty extensively. I've read several interviews whereyou talked about this. And then, you just sort of just said, ""Okay, it just is. Let's just-"" And, in a way, bycommunicating the potential for -- I mean, for sure, you're getting the warning out to some people."
Elon Musk,"Yeah. Yeah. I mean, I was really going on the warning quite a lot. I was warning everyone I could. Yeah, I've metwith Obama and just for one reason, like, ""Better watch out."""
Joe Rogan,Just talk about AI.
Elon Musk,Yes.
Joe Rogan,"And what did he say? So, what about Hillary? Worry about her first. Shh, everybody, quiet."
Elon Musk,He listened. He certainly listened. I met with Congress. I met with -- I was at a meeting of all 50 governors andtalked about just the AI danger. And I talked to everyone I could. No one seemed to realize where this was going.
Joe Rogan,"Is it that, or do they just assume that someone smarter than them is already taking care of it? Because whenpeople hear about something like AI, it's almost abstract. It's almost like it's so hard to wrap your head around it."
Elon Musk,It is.
Joe Rogan,"By the time it happens, it will be too late?"
Elon Musk,"Yeah. I think, they didn't quite understand it, or didn't think it was near term, or not sure what to do about it. And Isaid, like, you know, an obvious thing to do is to just establish a committee, government committee, to gaininsight. You know, before you oversight, before you do make regulations, you should like try to understand what'sgoing on. And then, you have an insight committee. Then, once they learn what's going on, you get up to speed.Then, they can make maybe some rules or proposed some rules. And that would be probably a safer way to goabout things."
Joe Rogan,"It seems -- I mean, I know that it's probably something that the government's supposed to handle, but it seems likeI wouldn't want the -- I don't want the government to handle this."
Elon Musk,Who do you want to handle this?
Joe Rogan,I want you to handle this.
Elon Musk,Oh geez.
Joe Rogan,"Yeah. I feel like you're the one who could bring the bell better because if Mike Pence starts talking about AI, I'mlike, ""Shut up, bitch. You don't know anything about AI. Come on, man. He doesn't know what he's talking about.""That's just games."
Elon Musk,"I don't have the power to regulate other companies. I don't if I'm supposed to, but you know."
Joe Rogan,"Right, but maybe companies could agree. Maybe there could be some sort of a -- What I mean is we haveagreements where you're not supposed to dump toxic waste into the ocean, you're not supposed to do certainthings that could be terribly damaging, even though they would be profitable. Maybe this is one of those things."
Joe Rogan,"Maybe we should realize that you can't hit the switch on something that's going to be able to think for itself andmake up its own mind as to whether or not it wants to survive or not, and whether or not it thinks you're a threat, orwhether or not it thinks you're useless. Like, ""Why do I keep this dumb finite life form alive? Why? Why keep thisthing around? It's just stupid. It just keeps polluting everything. It's shitting everywhere it goes, lighting everythingon fire, and shooting at each other. Why would I keep this stupid thing alive? Because, sometimes, it makes goodmusic, you know. Sometimes it makes great movies. Sometimes it makes beautiful art, and sometimes -- you know.Sometimes it's cool to hang out with. Like with my-"
Elon Musk,"Yes, for all those reasons."
Joe Rogan,"Yeah. For us, those are great reasons."
Elon Musk,Yes.
Joe Rogan,"But for anything objective standing outside that go, ""This is definitely a flawed system."" This is like if you went tothe jungle and you watch these chimps engage in warfare and beat each other with wooden sticks."
Elon Musk,Chimps are really mean.
Joe Rogan,They're fucking real mean.
Elon Musk,They're fucking mean.
Joe Rogan,They're real mean.
Elon Musk,"I saw a movie, Chimpanzee. I thought it was going to be like some Disney thing. Like, holy cow."
Joe Rogan,What movie was that?
Elon Musk,It's called Chimpanzee.
Joe Rogan,Is it a documentary?
Elon Musk,"Yeah, yeah. It's kind of like a documentary. I was like, ""Damn, these chimps are mean."""
Joe Rogan,They're mean.
Elon Musk,Yeah.
Joe Rogan,Yeah.
Elon Musk,They're cruel.
Joe Rogan,Yeah. They're calculated. Yeah.
Elon Musk,Yeah.
Joe Rogan,They sneak up on each other and-
Elon Musk,"Like, I didn't realize chimps did calculated cruelty."
Joe Rogan,Yeah.
Elon Musk,"I was pretty -- I left that meeting kinda like, ""This is dark."""
Joe Rogan,"Right. Well, we know better because we've advanced. But if we hadn't, we'd be like, ""Man, I don't want to fuckinglive in a house. I like the chimp ways, bro. Chimp ways to go. This is it, man, chimp life. You know, we got-"
Elon Musk,Simple chimp life.
Joe Rogan,"Chimp life right now. But we, in a way, to the AI, might be like those chimps and like, ""These stupid fucks launchingmissiles out of drones, and shooting each other underwater."" Like we're crazy. We got torpedoes, and submarines,and fucking airplanes that drop nuclear bombs indiscriminately on cities. We're assholes."
Elon Musk,Yeah.
Joe Rogan,"They might go, ""Why are they doing this?"" It might, like, look at our politics, look at what we do in terms of our foodsystem, what kind of food we force down each other's throats. And they might go, ""These people are crazy. Theydon't even look after themselves."""
Elon Musk,"I don't know. I mean, how much do we think about chimps? Not much."
Joe Rogan,Very little.
Elon Musk,It's like-
Joe Rogan,It's true.
Elon Musk,"... these chimps are at war. This like look -- It's like groups of chimps just attack each other, and they kill eachother. They torture each other. That's pretty bad. They hunt monkeys. They're -- Like this is probably the most,but, you know. I mean, when was the last time you watched chimps?"
Joe Rogan,Me?
Elon Musk,Yeah.
Joe Rogan,All the time.
Elon Musk,You do.
Joe Rogan,You're talking to the wrong guy.
Elon Musk,"Okay. Well, unfortunately, yeah."
Joe Rogan,"This fucking podcast, dude, we're talking about chimps every episode."
Elon Musk,It's chimp city? Okay.
Joe Rogan,"People are laughing right now. Yeah, constantly. I'm obsessed."
Elon Musk,Okay.
Joe Rogan,I saw that David Attenborough documentary on chimps where they were eating those colobus monkeys and rippingthem apart.
Elon Musk,"Yes, this was rough."
Joe Rogan,"I saw that many, many years ago."
Elon Musk,It's gruesome.
Joe Rogan,It just changed how-
Elon Musk,Gruesome.
Joe Rogan,"I go, ""Oh, this is why people are so crazy. We came from that thing."""
Elon Musk,"Yeah, exactly."
Joe Rogan,Yeah.
Elon Musk,It is the colobus.
Joe Rogan,Yeah.
Elon Musk,"They got, like, better philosophy."
Joe Rogan,"Yeah, they're like swingers."
Elon Musk,Yeah.
Joe Rogan,"Yeah, they really are. They seem to be way more -- Even than us, way more civilized."
Elon Musk,They just seem to resolve everything with sex.
Joe Rogan,Yeah. The only rules they have is the mom won't bang the son. That's it.
Elon Musk,Okay.
Joe Rogan,That's it. Mom won't bang her sons. They're good women.
Elon Musk,Yeah.
Joe Rogan,Good women in the bonobo community. Everybody else is banging it out.
Elon Musk,Yeah. I haven't seen the Bonobo Movie.
Joe Rogan,"Well, they're disturbing just at a zoo of bonobos at the zoo."
Elon Musk,They're just constantly going.
Joe Rogan,"Constantly fucking, yeah. It's all they do."
Elon Musk,It's just one stuff.
Joe Rogan,"Yeah. And they don't care, gay, straight, whatever. Let's just fuck. What's with these labels?"
Elon Musk,I haven't seen bonobos at a zoo. I just probably like-
Joe Rogan,I don't think I have either.
Elon Musk,And not on the PJ section.
Joe Rogan,"Yeah, I don't think they have them at many zoos. We've looked at it before too, didn't we?"
Elon Musk,It's probably pretty awkward.
Joe Rogan,Yeah. I think that's the thing. They don't like to keep regular chimps at zoos because bonobos are just alwaysjacking off and-
Elon Musk,Yeah.
Joe Rogan,Fucking it.
Jaime,In San Diego.
Joe Rogan,What's that? They have in San Diego?
Jaime,"San Diego's got some, yeah."
Joe Rogan,Really? Interesting.
Elon Musk,Yeah.
